[Rank 3] Step 0, Loss: 0.7817
[Rank 3] Step 1, Loss: 0.6278
[Rank 3] Step 2, Loss: 0.6490
[Rank 3] Step 3, Loss: 0.8097
[Rank 3] Step 4, Loss: 0.7190
[Rank 3] Step 5, Loss: 0.6284
[Rank 3] Step 6, Loss: 0.7685
[Rank 3] Step 7, Loss: 0.7230
[Rank 3] Step 8, Loss: 0.7351
[Rank 3] Step 9, Loss: 0.7036
[Rank 3] Step 10, Loss: 0.7237
[Rank 3] Step 11, Loss: 0.7117
[Rank 3] Step 12, Loss: 0.7286
[Rank 3] Step 13, Loss: 0.6834
[Rank 3] Step 14, Loss: 0.7147
[Rank 3] Step 15, Loss: 0.6873
[Rank 3] Step 16, Loss: 0.7011
[Rank 3] Step 17, Loss: 0.6288
[Rank 3] Step 18, Loss: 0.6770
[Rank 3] Step 19, Loss: 0.6669
[Rank 3] Step 20, Loss: 0.6350
[Rank 3] Step 21, Loss: 0.6868
[Rank 3] Step 22, Loss: 0.6957
[Rank 3] Step 23, Loss: 0.6980
[Rank 3] Step 24, Loss: 0.7452
[Rank 3] Step 25, Loss: 0.6769
[Rank 3] Step 26, Loss: 0.6852
[Rank 3] Step 27, Loss: 0.6650
[Rank 3] Step 28, Loss: 0.6693
[Rank 3] Step 29, Loss: 0.6299
[Rank 3] Step 30, Loss: 0.6928
[Rank 3] Step 31, Loss: 0.7050
[Rank 3] Step 32, Loss: 0.6679
[Rank 3] Step 33, Loss: 0.7052
[Rank 3] Step 34, Loss: 0.6904
[Rank 3] Step 35, Loss: 0.7079
[Rank 3] Step 36, Loss: 0.6607
[Rank 3] Step 37, Loss: 0.6969
[Rank 3] Step 38, Loss: 0.6471
[Rank 3] Avg time per iter (excluding first): 3.6495s over 38 iters
