[Rank 2] Step 0, Loss: 0.5531
[Rank 2] Step 1, Loss: 0.6833
[Rank 2] Step 2, Loss: 0.7659
[Rank 2] Step 3, Loss: 0.7275
[Rank 2] Step 4, Loss: 0.7950
[Rank 2] Step 5, Loss: 0.7498
[Rank 2] Step 6, Loss: 0.6929
[Rank 2] Step 7, Loss: 0.7076
[Rank 2] Step 8, Loss: 0.6946
[Rank 2] Step 9, Loss: 0.7708
[Rank 2] Step 10, Loss: 0.6426
[Rank 2] Step 11, Loss: 0.7287
[Rank 2] Step 12, Loss: 0.6739
[Rank 2] Step 13, Loss: 0.6953
[Rank 2] Step 14, Loss: 0.6508
[Rank 2] Step 15, Loss: 0.6948
[Rank 2] Step 16, Loss: 0.6532
[Rank 2] Step 17, Loss: 0.7210
[Rank 2] Step 18, Loss: 0.7321
[Rank 2] Step 19, Loss: 0.7306
[Rank 2] Step 20, Loss: 0.7196
[Rank 2] Step 21, Loss: 0.6403
[Rank 2] Step 22, Loss: 0.7004
[Rank 2] Step 23, Loss: 0.6465
[Rank 2] Step 24, Loss: 0.6956
[Rank 2] Step 25, Loss: 0.6995
[Rank 2] Step 26, Loss: 0.6822
[Rank 2] Step 27, Loss: 0.6823
[Rank 2] Step 28, Loss: 0.6601
[Rank 2] Step 29, Loss: 0.7467
[Rank 2] Step 30, Loss: 0.7061
[Rank 2] Step 31, Loss: 0.7180
[Rank 2] Step 32, Loss: 0.7451
[Rank 2] Step 33, Loss: 0.6619
[Rank 2] Step 34, Loss: 0.6554
[Rank 2] Step 35, Loss: 0.6622
[Rank 2] Step 36, Loss: 0.7151
[Rank 2] Step 37, Loss: 0.6516
[Rank 2] Step 38, Loss: 0.6480
[Rank 2] Avg time per iter (excluding first): 2.2251s over 38 iters
