[Rank 2] Step 0, Loss: 0.6063
[Rank 2] Step 1, Loss: 0.6685
[Rank 2] Step 2, Loss: 0.7586
[Rank 2] Step 3, Loss: 0.7189
[Rank 2] Step 4, Loss: 0.7972
[Rank 2] Step 5, Loss: 0.7198
[Rank 2] Step 6, Loss: 0.6641
[Rank 2] Step 7, Loss: 0.6970
[Rank 2] Step 8, Loss: 0.7352
[Rank 2] Step 9, Loss: 0.7880
[Rank 2] Step 10, Loss: 0.7444
[Rank 2] Step 11, Loss: 0.6797
[Rank 2] Step 12, Loss: 0.7341
[Rank 2] Step 13, Loss: 0.7217
[Rank 2] Step 14, Loss: 0.6380
[Rank 2] Step 15, Loss: 0.7416
[Rank 2] Step 16, Loss: 0.6759
[Rank 2] Step 17, Loss: 0.7340
[Rank 2] Step 18, Loss: 0.7869
[Rank 2] Step 19, Loss: 0.6615
[Rank 2] Step 20, Loss: 0.7142
[Rank 2] Step 21, Loss: 0.6883
[Rank 2] Step 22, Loss: 0.6575
[Rank 2] Step 23, Loss: 0.6847
[Rank 2] Step 24, Loss: 0.6875
[Rank 2] Step 25, Loss: 0.7593
[Rank 2] Step 26, Loss: 0.7019
[Rank 2] Step 27, Loss: 0.6636
[Rank 2] Step 28, Loss: 0.6561
[Rank 2] Step 29, Loss: 0.6970
[Rank 2] Step 30, Loss: 0.7278
[Rank 2] Step 31, Loss: 0.6312
[Rank 2] Step 32, Loss: 0.7164
[Rank 2] Step 33, Loss: 0.6987
[Rank 2] Step 34, Loss: 0.6572
[Rank 2] Step 35, Loss: 0.6729
[Rank 2] Step 36, Loss: 0.7271
[Rank 2] Step 37, Loss: 0.7245
[Rank 2] Step 38, Loss: 0.7127
[Rank 2] Avg time per iter (excluding first): 106.8193s over 38 iters
